#=================================================================,,,
# Panel,,,
# Report Suite: Main Site (Prod),,,
"# Date: Oct 1, 2020 - Dec 13, 2020",,,
#=================================================================,,,
,,,
,,,
##############################################,,,
# Freeform Table - Channel manager-cross visit (v38) (6194 items out of 6194),,,
##############################################,,,
,Membership Step 4.0 - Confirmation (ev23),Channel manager-cross visit (v38) Instances,Channel: Conversion Rate
natural search>affiliates>other natural referrers>affiliates,39,411,0.094890511
affiliates>natural search>affiliates>natural search>affiliates,37,1239,0.029862793
typed/bookmarked>paid search>natural search,34,1727,0.019687319
paid search>affiliates>natural search,32,884,0.036199095
natural search>affiliates>paid search,31,676,0.045857988
affiliates>other natural referrers>affiliates,31,623,0.04975923
affiliates>paid search,29,862,0.033642691
natural search>email>paid search,28,953,0.029380902
email>natural search>paid search,26,1223,0.021259199
paid search>other natural referrers>affiliates,25,266,0.093984962
typed/bookmarked>paid search>affiliates,25,252,0.099206349
social,24,68019,0.000352843
natural search>natural social,23,11487,0.002002263
affiliates>other natural referrers,23,1400,0.016428571
email>natural search>email,22,24649,0.000892531
natural search>natural social>natural search,22,9960,0.002208835
paid search>email,22,2130,0.010328638
paid search>affiliates>other natural referrers,22,196,0.112244898
typed/bookmarked>natural search>paid search>natural search,21,1270,0.016535433
affiliates>other natural referrers>affiliates>other natural referrers>affiliates,21,267,0.078651685
paid search>natural search>paid search>affiliates,21,142,0.147887324
natural search>affiliates>natural search>affiliates>natural search,20,2488,0.008038585
natural search>paid search>other natural referrers,20,747,0.026773762
email>natural search>affiliates,20,456,0.043859649
paid search>affiliates>paid search>affiliates,20,142,0.14084507
natural search>affiliates>natural search>paid search,18,378,0.047619048
other natural referrers>natural search>paid search,17,580,0.029310345
paid search>natural search>paid search>natural search>affiliates,17,111,0.153153153
typed/bookmarked>affiliates>natural search,16,853,0.018757327
natural search>mobile app>other natural referrers,16,796,0.020100503
typed/bookmarked>other natural referrers>affiliates,15,243,0.061728395
paid search>affiliates>natural search>affiliates,15,166,0.090361446
natural search>other natural referrers>affiliates>other natural referrers>affiliates,14,108,0.12962963
affiliates>natural search>affiliates>other natural referrers>affiliates,14,75,0.186666667
natural social>natural search,13,8622,0.001507771
natural search>mobile app>natural search,13,6628,0.001961376
natural search>other natural referrers>natural search>paid search,13,1088,0.011948529
natural search>paid search>affiliates>natural search,13,745,0.017449664
natural search>paid search>natural search>affiliates>natural search,13,552,0.023550725
paid search>other natural referrers>paid search,13,384,0.033854167
other natural referrers>natural search>affiliates,13,288,0.045138889
natural search>paid search>affiliates>paid search,13,228,0.057017544
paid search>natural search>affiliates>natural search>affiliates,13,155,0.083870968
natural search>paid search>natural search>paid search>affiliates,13,113,0.115044248
affiliates>paid search>affiliates,13,106,0.122641509
natural search>paid search>affiliates>paid search>affiliates,13,75,0.173333333
email>natural search>email>natural search,12,7593,0.001580403
typed/bookmarked>natural search>other natural referrers,12,2738,0.004382761
typed/bookmarked>natural search>affiliates>natural search,12,648,0.018518519
other natural referrers>affiliates>other natural referrers,12,552,0.02173913
paid search>affiliates>other natural referrers>affiliates,12,111,0.108108108
natural search>email>natural search>email,11,6938,0.001585471
natural search>affiliates>other natural referrers>natural search,11,384,0.028645833
natural search>other natural referrers>natural search>affiliates,11,335,0.032835821
natural search>email>affiliates,11,220,0.05
affiliates>natural search>paid search,11,219,0.050228311
typed/bookmarked>affiliates>natural search>affiliates,11,144,0.076388889
paid search>email>paid search,11,115,0.095652174
mobile app>natural search,10,8893,0.00112448
email>paid search>natural search,10,956,0.010460251
natural search>other natural referrers>paid search,10,747,0.013386881
paid search>mobile app,10,527,0.018975332
natural search>affiliates>natural search>paid search>natural search,10,444,0.022522523
typed/bookmarked>affiliates>other natural referrers>affiliates,10,103,0.097087379
natural search>affiliates>paid search>affiliates,10,98,0.102040816
other natural referrers>email,9,4940,0.001821862
unknown paid channel>natural search,9,1458,0.00617284
affiliates>natural search>affiliates>natural search,9,632,0.014240506
paid search>other natural referrers>natural search,9,613,0.014681892
natural search>other natural referrers>affiliates>natural search,9,392,0.022959184
natural search>affiliates>paid search>natural search>affiliates,9,39,0.230769231
natural search>email>natural search>email>natural search,8,8760,0.000913242
natural search>email>natural search>paid search,8,618,0.012944984
natural search>other natural referrers>natural search>affiliates>natural search,8,455,0.017582418
paid search>natural search>affiliates>natural search,8,325,0.024615385
other natural referrers>affiliates>other natural referrers>affiliates,8,201,0.039800995
typed/bookmarked>affiliates>other natural referrers,8,199,0.040201005
paid search>natural social,8,191,0.041884817
affiliates>paid search>natural search,8,168,0.047619048
affiliates>other natural referrers>affiliates>natural search>affiliates,8,99,0.080808081
natural search>paid search>affiliates>other natural referrers>affiliates,8,77,0.103896104
paid search>affiliates>paid search>affiliates>natural search,8,57,0.140350877
email>other natural referrers,7,5783,0.001210444
other natural referrers>paid search>other natural referrers,7,421,0.016627078
other natural referrers>affiliates>natural search,7,383,0.018276762
natural search>affiliates>other natural referrers>affiliates>natural search,7,275,0.025454545
other natural referrers>natural search>paid search>natural search>paid search,7,183,0.038251366
natural search>paid search>affiliates>natural search>affiliates,7,110,0.063636364
paid search>natural search>affiliates>paid search,7,104,0.067307692
typed/bookmarked>natural search>paid search>affiliates,7,65,0.107692308
typed/bookmarked>natural search>other natural referrers>affiliates,7,62,0.112903226
paid search>natural search>affiliates>other natural referrers>affiliates,7,61,0.114754098
natural search>affiliates>natural search>paid search>affiliates,7,58,0.120689655
paid search>natural search>paid search>affiliates>paid search,7,41,0.170731707
paid search>natural search>affiliates>paid search>affiliates,7,39,0.179487179
natural search>other natural referrers>natural search>other natural referrers>natural search,6,6829,0.000878606
typed/bookmarked>natural search>email,6,4179,0.00143575
paid search>natural search>other natural referrers,6,785,0.007643312
natural search>email>natural search>paid search>natural search,6,774,0.007751938
natural search>paid search>email,6,757,0.007926024
natural search>affiliates>natural search>other natural referrers>natural search,6,517,0.011605416
other natural referrers>paid search>natural search,6,253,0.023715415
other natural referrers>affiliates>natural search>affiliates>natural search,6,144,0.041666667
natural search>other natural referrers>affiliates>other natural referrers,6,114,0.052631579
natural search>paid search>other natural referrers>affiliates,6,68,0.088235294
paid search>natural search>affiliates>paid search>natural search,6,68,0.088235294
other natural referrers>paid search>other natural referrers>paid search>other natural referrers,6,58,0.103448276
paid search>natural search>other natural referrers>affiliates,6,47,0.127659574
affiliates>natural search>affiliates>paid search>affiliates,6,40,0.15
natural search>owned site>natural search>paid search>natural search,6,3,2
email>natural search>email>natural search>email,5,6585,0.000759301
typed/bookmarked>email>natural search,5,2801,0.001785077
typed/bookmarked>other natural referrers>natural search,5,2344,0.002133106
typed/bookmarked>natural search>email>natural search,5,1411,0.003543586
affiliates>email,5,731,0.006839945
natural search>affiliates>natural search>other natural referrers,5,306,0.016339869
natural search>affiliates>paid search>natural search,5,216,0.023148148
natural search>paid search>other natural referrers>paid search,5,165,0.03030303
typed/bookmarked>email>paid search,5,108,0.046296296
email>paid search>natural search>paid search,5,103,0.048543689
natural search>paid search>natural search>affiliates>paid search,5,77,0.064935065
natural search>paid search>affiliates>natural search>paid search,5,62,0.080645161
typed/bookmarked>natural search>affiliates>natural search>affiliates,5,60,0.083333333
natural search>paid search>affiliates>other natural referrers,5,55,0.090909091
affiliates>email>affiliates,5,44,0.113636364
natural search>natural social>affiliates,5,42,0.119047619
affiliates>natural search>paid search>natural search>affiliates,5,34,0.147058824
typed/bookmarked>paid search>natural search>affiliates,5,34,0.147058824
paid search>mobile app>paid search,5,30,0.166666667
paid search>affiliates>natural search>paid search>affiliates,5,21,0.238095238
affiliates>other natural referrers>paid search,5,19,0.263157895
unknown paid channel,4,12586,0.000317813
email>other natural referrers>email,4,2550,0.001568627
natural search>paid search>other natural referrers>natural search,4,501,0.007984032
natural search>mobile app>other natural referrers>mobile app,4,446,0.00896861
natural search>paid search>email>natural search,4,326,0.012269939
mobile app>paid search,4,295,0.013559322
paid search>natural search>mobile app,4,279,0.014336918
affiliates>natural search>other natural referrers,4,254,0.015748031
typed/bookmarked>other natural referrers>paid search,4,188,0.021276596
paid search>natural search>paid search>natural search>other natural referrers,4,172,0.023255814
natural search>email>natural search>affiliates,4,166,0.024096386
typed/bookmarked>paid search>natural search>paid search,4,130,0.030769231
natural search>paid search>affiliates>paid search>natural search,4,125,0.032
paid search>natural search>paid search>affiliates>natural search,4,117,0.034188034
affiliates>mobile app,4,114,0.035087719
paid search>affiliates>paid search>natural search,4,106,0.037735849
affiliates>paid search>natural search>paid search>natural search,4,99,0.04040404
typed/bookmarked>paid search>other natural referrers,4,98,0.040816327
affiliates>other natural referrers>affiliates>natural search,4,94,0.042553191
other natural referrers>affiliates>other natural referrers>affiliates>natural search,4,94,0.042553191
affiliates>paid search>natural search>affiliates>natural search,4,64,0.0625
paid search>other natural referrers>natural search>paid search,4,61,0.06557377
natural search>paid search>email>paid search,4,58,0.068965517
typed/bookmarked>email>affiliates,4,53,0.075471698
paid search>natural search>affiliates>other natural referrers,4,43,0.093023256
natural social>natural search>affiliates,4,41,0.097560976
paid search>affiliates>paid search>natural search>paid search,4,34,0.117647059
affiliates>paid search>affiliates>natural search>affiliates,4,28,0.142857143
paid search>natural search>email>paid search,4,25,0.16
affiliates>natural search>paid search>affiliates,4,22,0.181818182
paid search>natural search>affiliates>other natural referrers>natural search,4,16,0.25
typed/bookmarked>paid search>other natural referrers>affiliates,4,15,0.266666667
mobile app>paid search>natural search>mobile app>email,4,3,1.333333333
email>mobile app,3,3819,0.000785546
other natural referrers>natural search>other natural referrers,3,3233,0.000927931
mobile app>email,3,2919,0.001027749
typed/bookmarked>natural search>other natural referrers>natural search,3,1811,0.001656543
other natural referrers>natural search>other natural referrers>natural search,3,1621,0.001850709
natural search>mobile app>natural search>mobile app>natural search,3,1581,0.001897533
typed/bookmarked>mobile app>natural search,3,1574,0.001905972
natural search>paid search>natural search>other natural referrers>natural search,3,1489,0.002014775
natural search>other natural referrers>natural search>paid search>natural search,3,1157,0.002592913
paid search>natural search>email,3,1048,0.002862595
natural search>paid search>natural search>email>natural search,3,934,0.003211991
natural search>paid search>natural search>other natural referrers,3,785,0.003821656
email>natural search>paid search>natural search,3,615,0.004878049
typed/bookmarked>natural search>natural social,3,584,0.005136986
email>affiliates>email,3,432,0.006944444
natural search>affiliates>natural search>email>natural search,3,342,0.00877193
natural search>affiliates>email,3,299,0.010033445
natural social>paid search,3,224,0.013392857
natural search>paid search>mobile app,3,194,0.015463918
email>natural search>email>paid search,3,145,0.020689655
paid search>affiliates>natural search>affiliates>natural search,3,131,0.022900763
natural search>paid search>natural search>paid search>other natural referrers,3,87,0.034482759
typed/bookmarked>mobile app>paid search,3,81,0.037037037
mobile app>natural search>paid search,3,70,0.042857143
natural search>affiliates>mobile app,3,70,0.042857143
paid search>affiliates>natural search>paid search,3,64,0.046875
natural search>affiliates>other natural referrers>natural search>affiliates,3,58,0.051724138
email>natural search>affiliates>natural search>affiliates,3,55,0.054545455
natural search>natural social>natural search>affiliates,3,53,0.056603774
paid search>affiliates>paid search>natural search>affiliates,3,47,0.063829787
typed/bookmarked>paid search>affiliates>paid search,3,46,0.065217391
email>paid search>affiliates,3,38,0.078947368
typed/bookmarked>natural search>affiliates>other natural referrers>affiliates,3,27,0.111111111
natural search>paid search>natural search>other natural referrers>affiliates,3,22,0.136363636
typed/bookmarked>other natural referrers>affiliates>other natural referrers>affiliates,3,21,0.142857143
natural search>paid search>other natural referrers>affiliates>paid search,3,20,0.15
other natural referrers>affiliates>other natural referrers>affiliates>paid search,3,19,0.157894737
natural search>paid search>mobile app>other natural referrers,3,19,0.157894737
affiliates>paid search>natural search>affiliates>paid search,3,14,0.214285714
typed/bookmarked>other natural referrers>natural search>affiliates,3,13,0.230769231
natural search>affiliates>email>affiliates,3,10,0.3
paid search>other natural referrers>affiliates>paid search>affiliates,3,10,0.3
other natural referrers>mobile app>other natural referrers>mobile app>paid search,3,8,0.375
affiliates>paid search>affiliates>natural search>paid search,3,7,0.428571429
paid search>natural search>affiliates>paid search>other natural referrers,3,3,1
email>paid search>affiliates>other natural referrers,3,3,1
affiliates>natural search>mobile app>paid search>natural search,3,3,1
paid search>mobile app>other natural referrers>paid search>mobile app,3,3,1
typed/bookmarked>unknown paid channel,2,1771,0.001129305
mobile app>other natural referrers,2,1358,0.001472754
other natural referrers>email>other natural referrers,2,1184,0.001689189
natural search>other natural referrers>natural search>email>natural search,2,1052,0.001901141
typed/bookmarked>natural search>mobile app,2,1018,0.001964637
other natural referrers>natural social,2,887,0.002254791
natural search>paid search>natural search>email,2,856,0.002336449
mobile app>other natural referrers>mobile app,2,854,0.00234192
paid search>natural search>other natural referrers>natural search,2,741,0.002699055
natural search>email>other natural referrers,2,565,0.003539823
paid search>email>natural search,2,486,0.004115226
natural search>email>paid search>natural search,2,425,0.004705882
natural search>affiliates>natural search>email,2,298,0.006711409
mobile app>other natural referrers>mobile app>other natural referrers>mobile app,2,281,0.007117438
other natural referrers>natural search>paid search>natural search,2,245,0.008163265
affiliates>natural search>email,2,208,0.009615385
unknown paid channel>other natural referrers,2,196,0.010204082
typed/bookmarked>other natural referrers>mobile app,2,182,0.010989011
other natural referrers>affiliates>other natural referrers>affiliates>other natural referrers,2,170,0.011764706
other natural referrers>natural search>affiliates>natural search,2,161,0.01242236
email>natural search>paid search>natural search>paid search,2,152,0.013157895
natural search>mobile app>paid search,2,144,0.013888889
email>natural search>email>paid search>natural search,2,139,0.014388489
email>paid search>natural search>email>natural search,2,111,0.018018018
email>paid search>natural search>paid search>natural search,2,97,0.020618557
typed/bookmarked>affiliates>paid search,2,95,0.021052632
natural search>paid search>natural social,2,82,0.024390244
affiliates>paid search>affiliates>paid search>affiliates,2,78,0.025641026
natural search>other natural referrers>affiliates>natural search>affiliates,2,70,0.028571429
natural search>email>paid search>natural search>paid search,2,68,0.029411765
natural search>email>paid search>email>natural search,2,66,0.03030303
natural search>paid search>other natural referrers>affiliates>natural search,2,65,0.030769231
other natural referrers>mobile app>other natural referrers>mobile app>other natural referrers,2,65,0.030769231
natural search>affiliates>natural search>affiliates>paid search,2,62,0.032258065
other natural referrers>paid search>affiliates,2,59,0.033898305
paid search>natural search>affiliates>natural search>paid search,2,58,0.034482759
paid search>affiliates>natural search>other natural referrers>natural search,2,52,0.038461538
paid search>affiliates>other natural referrers>affiliates>natural search,2,52,0.038461538
affiliates>email>natural search>email>natural search,2,51,0.039215686
affiliates>other natural referrers>affiliates>other natural referrers>natural search,2,51,0.039215686
natural search>affiliates>paid search>affiliates>paid search,2,51,0.039215686
affiliates>other natural referrers>natural search>other natural referrers>natural search,2,51,0.039215686
affiliates>natural search>affiliates>paid search>natural search,2,51,0.039215686
paid search>natural search>paid search>email>paid search,2,50,0.04
email>paid search>email>paid search,2,49,0.040816327
natural search>paid search>other natural referrers>natural search>paid search,2,46,0.043478261
natural search>other natural referrers>natural search>other natural referrers>affiliates,2,45,0.044444444
natural search>other natural referrers>affiliates>other natural referrers>natural search,2,43,0.046511628
natural search>email>natural social>email,2,42,0.047619048
affiliates>paid search>natural search>affiliates,2,40,0.05
email>natural search>email>affiliates,2,40,0.05
other natural referrers>email>paid search,2,39,0.051282051
affiliates>natural search>other natural referrers>affiliates,2,38,0.052631579
paid search>affiliates>email,2,37,0.054054054
affiliates>other natural referrers>natural search>affiliates,2,36,0.055555556
paid search>other natural referrers>affiliates>other natural referrers>affiliates,2,35,0.057142857
other natural referrers>affiliates>paid search,2,33,0.060606061
paid search>affiliates>mobile app,2,33,0.060606061
other natural referrers>natural search>other natural referrers>paid search,2,32,0.0625
other natural referrers>paid search>other natural referrers>paid search,2,32,0.0625
paid search>mobile app>other natural referrers,2,31,0.064516129
email>paid search>natural search>affiliates,2,29,0.068965517
typed/bookmarked>other natural referrers>paid search>other natural referrers,2,29,0.068965517
typed/bookmarked>paid search>mobile app,2,26,0.076923077
typed/bookmarked>affiliates>paid search>natural search,2,22,0.090909091
other natural referrers>affiliates>paid search>natural search>paid search,2,21,0.095238095
paid search>other natural referrers>paid search>natural search>affiliates,2,21,0.095238095
paid search>affiliates>other natural referrers>natural search,2,19,0.105263158
other natural referrers>paid search>other natural referrers>affiliates,2,18,0.111111111
affiliates>natural search>affiliates>paid search,2,17,0.117647059
mobile app>natural search>mobile app>natural search>paid search,2,16,0.125
paid search>affiliates>other natural referrers>paid search,2,15,0.133333333
affiliates>paid search>affiliates>paid search,2,15,0.133333333
natural search>affiliates>paid search>other natural referrers>affiliates,2,14,0.142857143
natural social>paid search>affiliates>natural search,2,13,0.153846154
paid search>affiliates>paid search>affiliates>other natural referrers,2,9,0.222222222
natural search>mobile app>natural search>mobile app>affiliates,2,8,0.25
natural social>natural search>natural social>natural search>affiliates,2,8,0.25
natural search>paid search>natural search>mobile app>paid search,2,7,0.285714286
paid search>mobile app>other natural referrers>natural search>paid search,2,6,0.333333333
email>affiliates>mobile app,2,6,0.333333333
affiliates>other natural referrers>affiliates>email>natural search,2,5,0.4
typed/bookmarked>natural search>affiliates>mobile app,2,5,0.4
paid search>other natural referrers>affiliates>other natural referrers>paid search,2,5,0.4
other natural referrers>affiliates>paid search>other natural referrers>affiliates,2,5,0.4
natural social>natural search>paid search>affiliates,2,4,0.5
natural social>paid search>affiliates,2,4,0.5
affiliates>email>paid search,2,4,0.5
natural search>affiliates>email>other natural referrers,2,4,0.5
paid search>email>paid search>natural search>affiliates,2,3,0.666666667
other natural referrers>paid search>other natural referrers>affiliates>other natural referrers,2,3,0.666666667
paid search>other natural referrers>paid search>other natural referrers>affiliates,2,3,0.666666667
typed/bookmarked>affiliates>paid search>affiliates>paid search,2,2,1
paid search>email>paid search>affiliates>paid search,2,2,1
mobile app>other natural referrers>natural search>affiliates>natural search,2,2,1
paid search>affiliates>mobile app>other natural referrers>natural search,2,2,1
paid search>other natural referrers>affiliates>email>natural search,2,2,1
paid search>affiliates>natural search>email>affiliates,2,1,2
natural search>other natural referrers>natural search>other natural referrers,1,3677,0.000271961
natural search>social,1,2471,0.000404694
social>natural search,1,1941,0.000515198
natural search>social>natural search,1,1810,0.000552486
other natural referrers>natural search>other natural referrers>natural search>other natural referrers,1,1703,0.000587199
mobile app>natural search>mobile app>natural search>mobile app,1,1560,0.000641026
natural search>natural social>natural search>natural social>natural search,1,1541,0.000648929
social>natural social,1,1535,0.000651466
natural social>social,1,1359,0.000735835
natural search>mobile app>natural search>mobile app,1,1268,0.000788644
email>natural search>other natural referrers,1,1119,0.000893655
natural search>other natural referrers>natural search>email,1,952,0.00105042
print,1,931,0.001074114
mobile app>email>mobile app,1,926,0.001079914
email>natural social,1,882,0.001133787
mobile app>natural search>mobile app>natural search,1,787,0.001270648
email>paid search>email,1,775,0.001290323
other natural referrers>mobile app,1,663,0.001508296
email>unknown paid channel,1,647,0.001545595
typed/bookmarked>social,1,601,0.001663894
natural search>email>natural search>other natural referrers,1,575,0.00173913
other natural referrers>natural search>email,1,534,0.001872659
natural search>other natural referrers>paid search>natural search,1,478,0.00209205
natural search>natural social>natural search>natural social,1,469,0.002132196
typed/bookmarked>email>natural search>email,1,468,0.002136752
natural search>mobile app>other natural referrers>natural search,1,424,0.002358491
natural search>email>mobile app,1,350,0.002857143
email>social,1,313,0.003194888
typed/bookmarked>mobile app>natural search>mobile app,1,303,0.00330033
natural search>email>natural search>natural social>natural search,1,296,0.003378378
mobile app>other natural referrers>natural search,1,295,0.003389831
owned site>natural search,1,286,0.003496503
other natural referrers>natural search>email>natural search>email,1,258,0.003875969
natural search>other natural referrers>natural search>mobile app,1,231,0.004329004
email>natural search>natural social,1,228,0.004385965
email>affiliates>natural search,1,224,0.004464286
email>natural search>email>natural search>other natural referrers,1,218,0.004587156
other natural referrers>email>other natural referrers>email,1,211,0.004739336
typed/bookmarked>mobile app>other natural referrers,1,210,0.004761905
email>natural search>mobile app>natural search,1,199,0.005025126
natural search>paid search>natural search>natural social>natural search,1,184,0.005434783
affiliates>natural search>other natural referrers>natural search,1,181,0.005524862
natural search>paid search>other natural referrers>paid search>natural search,1,177,0.005649718
typed/bookmarked>other natural referrers>natural search>other natural referrers,1,165,0.006060606
natural search>natural social>natural search>paid search,1,152,0.006578947
natural search>social>natural search>social,1,145,0.006896552
natural search>email>natural search>mobile app,1,144,0.006944444
unknown paid channel>paid search,1,140,0.007142857
natural search>mobile app>natural search>other natural referrers>natural search,1,138,0.007246377
paid search>email>natural search>email>natural search,1,136,0.007352941
paid search>mobile app>natural search,1,134,0.007462687
natural search>paid search>natural search>mobile app,1,131,0.007633588
paid search>other natural referrers>paid search>natural search,1,128,0.0078125
paid search>natural search>other natural referrers>natural search>paid search,1,127,0.007874016
paid search>affiliates>natural search>paid search>natural search,1,124,0.008064516
natural search>email>natural search>email>paid search,1,120,0.008333333
natural search>natural social>paid search,1,117,0.008547009
natural search>mobile app>natural search>paid search>natural search,1,116,0.00862069
typed/bookmarked>natural search>paid search>natural search>paid search,1,97,0.010309278
natural social>natural search>paid search,1,96,0.010416667
affiliates>other natural referrers>affiliates>other natural referrers,1,94,0.010638298
other natural referrers>paid search>natural search>paid search>natural search,1,93,0.010752688
typed/bookmarked>affiliates>email,1,91,0.010989011
affiliates>natural search>email>natural search>email,1,90,0.011111111
natural search>email>affiliates>natural search,1,88,0.011363636
typed/bookmarked>paid search>natural search>paid search>natural search,1,87,0.011494253
natural search>affiliates>paid search>affiliates>natural search,1,86,0.011627907
email>natural search>email>paid search>email,1,86,0.011627907
typed/bookmarked>other natural referrers>natural search>other natural referrers>natural search,1,86,0.011627907
paid search>email>natural search>email,1,86,0.011627907
paid search>natural search>mobile app>natural search,1,83,0.012048193
paid search>natural search>paid search>other natural referrers>paid search,1,78,0.012820513
affiliates>other natural referrers>natural search>affiliates>natural search,1,76,0.013157895
natural search>affiliates>natural search>mobile app>natural search,1,75,0.013333333
social>paid search,1,75,0.013333333
natural search>paid search>natural search>paid search>email,1,72,0.013888889
natural search>paid search>natural search>natural social,1,71,0.014084507
other natural referrers>email>natural search>other natural referrers>natural search,1,69,0.014492754
affiliates>natural search>affiliates>natural search>other natural referrers,1,68,0.014705882
typed/bookmarked>print>natural search,1,67,0.014925373
typed/bookmarked>social>natural search,1,67,0.014925373
paid search>natural search>unknown paid channel>natural search,1,66,0.015151515
affiliates>natural search>affiliates>natural search>paid search,1,65,0.015384615
affiliates>natural search>paid search>natural search>paid search,1,64,0.015625
natural search>affiliates>natural search>affiliates>other natural referrers,1,61,0.016393443
affiliates>natural search>other natural referrers>natural search>other natural referrers,1,60,0.016666667
other natural referrers>natural search>affiliates>natural search>affiliates,1,57,0.01754386
social>natural search>email,1,56,0.017857143
other natural referrers>natural search>other natural referrers>natural search>affiliates,1,54,0.018518519
paid search>affiliates>paid search>affiliates>paid search,1,54,0.018518519
email>affiliates>email>affiliates,1,54,0.018518519
social>natural social>natural search,1,53,0.018867925
natural social>paid search>natural search,1,53,0.018867925
typed/bookmarked>affiliates>mobile app,1,53,0.018867925
natural search>paid search>natural social>natural search,1,53,0.018867925
other natural referrers>natural search>paid search>natural search>affiliates,1,50,0.02
email>other natural referrers>affiliates,1,50,0.02
paid search>other natural referrers>email,1,49,0.020408163
natural search>paid search>natural search>other natural referrers>paid search,1,48,0.020833333
natural search>affiliates>other natural referrers>affiliates>other natural referrers,1,48,0.020833333
unknown paid channel>natural search>paid search,1,45,0.022222222
natural search>affiliates>email>natural search>email,1,44,0.022727273
natural search>paid search>natural search>email>paid search,1,44,0.022727273
paid search>social,1,44,0.022727273
other natural referrers>affiliates>natural search>affiliates,1,44,0.022727273
social>email>natural search,1,43,0.023255814
paid search>other natural referrers>paid search>other natural referrers,1,43,0.023255814
natural search>paid search>other natural referrers>natural search>other natural referrers,1,42,0.023809524
other natural referrers>natural search>affiliates>other natural referrers>affiliates,1,42,0.023809524
typed/bookmarked>other natural referrers>affiliates>natural search,1,41,0.024390244
other natural referrers>affiliates>other natural referrers>natural search,1,41,0.024390244
natural search>affiliates>natural search>other natural referrers>affiliates,1,39,0.025641026
natural search>mobile app>affiliates,1,39,0.025641026
email>natural search>email>affiliates>natural search,1,38,0.026315789
email>natural search>email>affiliates>email,1,36,0.027777778
natural search>paid search>affiliates>other natural referrers>natural search,1,35,0.028571429
affiliates>natural search>other natural referrers>natural search>affiliates,1,34,0.029411765
email>affiliates>paid search,1,34,0.029411765
natural search>other natural referrers>affiliates>paid search,1,33,0.03030303
typed/bookmarked>affiliates>other natural referrers>natural search,1,33,0.03030303
mobile app>natural search>affiliates,1,32,0.03125
affiliates>natural search>affiliates>other natural referrers>natural search,1,32,0.03125
other natural referrers>natural search>other natural referrers>affiliates,1,29,0.034482759
natural search>other natural referrers>natural search>affiliates>other natural referrers,1,29,0.034482759
affiliates>natural search>affiliates>other natural referrers,1,28,0.035714286
affiliates>natural search>affiliates>natural social>natural search,1,28,0.035714286
paid search>natural search>other natural referrers>affiliates>natural search,1,27,0.037037037
typed/bookmarked>mobile app>natural search>email,1,27,0.037037037
natural search>paid search>other natural referrers>paid search>other natural referrers,1,27,0.037037037
paid search>other natural referrers>affiliates>other natural referrers,1,26,0.038461538
other natural referrers>paid search>other natural referrers>natural search>other natural referrers,1,24,0.041666667
paid search>natural search>paid search>mobile app>natural search,1,24,0.041666667
